"Source:","C:\Users\andre\OneDrive\Desktop\Smart_sip\Smart-Sip-HW\controller\Adafruit HUZZAH32 ESP32 Feather.kicad_sch"
"Date:","2024-01-29 12:56:19 AM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","116"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2","2","10uF","microbuilder_CAP_CERAMIC0805-NOOUTLINE","Adafruit HUZZAH32 ESP32 Feather:0805-NO","","",""
"C3, C6, C8","3","10µF","microbuilder_CAP_CERAMIC0805-NOOUTLINE","Adafruit HUZZAH32 ESP32 Feather:0805-NO","","",""
"C4, C7","2","1uF","microbuilder_CAP_CERAMIC0603_NO","Adafruit HUZZAH32 ESP32 Feather:0603-NO","","",""
"C5, C11","2","1.0UF-0603-16V-10%-X7R","1.0UF-0603-16V-10%-X7R","SparkFun_IMU_Breakout_ICM-20948:0603","","",""
"C9, C10","2","0.1UF-0603-25V-5%","0.1UF-0603-25V-5%","SparkFun_IMU_Breakout_ICM-20948:0603","","",""
"C12, C13, C15, C17, C18","5","0.1uF","0.1UF-25V-5%(0603)","SparkFun_HX711_Load_Cell:0603-CAP","","",""
"C14, C16","2","10uF","10UF50V20%(1210)","SparkFun_HX711_Load_Cell:1210","","",""
"CHG0","1","ORANGE","microbuilder_LED0805_NOOUTLINE","Adafruit HUZZAH32 ESP32 Feather:CHIPLED_0805_NOOUTLINE","","",""
"D1","1","RED","LED-RED0603","SparkFun_IMU_Breakout_ICM-20948:LED-0603","","",""
"D3","1","RED","microbuilder_LED0805_NOOUTLINE","Adafruit HUZZAH32 ESP32 Feather:CHIPLED_0805_NOOUTLINE","","",""
"D4","1","MBR120","microbuilder_DIODE-SCHOTTKYSOD-123","Adafruit HUZZAH32 ESP32 Feather:SOD-123","","",""
"FD1, FD2, FD3, FD4","4","FIDUCIAL1X2","FIDUCIAL1X2","SparkFun_IMU_Breakout_ICM-20948:FIDUCIAL-1X2","","",""
"FID1, FID2","2","FIDUCIAL1X2","FIDUCIAL1X2","SparkFun_HX711_Load_Cell:FIDUCIAL-1X2","","",""
"FRAME1","1","FRAME-LEDGER","FRAME-LEDGER","SparkFun_IMU_Breakout_ICM-20948:CREATIVE_COMMONS","","",""
"FRAME2","1","FRAME-LETTER","FRAME-LETTER","SparkFun_HX711_Load_Cell:CREATIVE_COMMONS","","",""
"H1, H2, H3, H4","4","STAND-OFF","STAND-OFF","SparkFun_IMU_Breakout_ICM-20948:STAND-OFF","","",""
"IC1","1","CP2104","microbuilder_CP2104","Adafruit HUZZAH32 ESP32 Feather:QFN24_4MM_SMSC","","",""
"J1, J2","2","QWIIC_CONNECTORJS-1MM","QWIIC_CONNECTORJS-1MM","SparkFun_IMU_Breakout_ICM-20948:JST04_1MM_RA","","",""
"J3, J4","2","CONN_06NO_SILK_NO_POP","CONN_06NO_SILK_NO_POP","SparkFun_IMU_Breakout_ICM-20948:1X06_NO_SILK","","",""
"J5","1","M05PTH","M05PTH","SparkFun_HX711_Load_Cell:1X05","","",""
"JP1","1","HEADER-1X16_MIN","microbuilder_HEADER-1X16_MIN","Adafruit HUZZAH32 ESP32 Feather:1X16_ROUND_MIN","","",""
"JP2","1","JUMPER-SMT_2_NC_TRACE_SILK","JUMPER-SMT_2_NC_TRACE_SILK","SparkFun_IMU_Breakout_ICM-20948:SMT-JUMPER_2_NC_TRACE_SILK","","",""
"JP3","1","HEADER-1X12_MIN","microbuilder_HEADER-1X12_MIN","Adafruit HUZZAH32 ESP32 Feather:1X12_ROUND_MIN","","",""
"JP4, JP6","2","JUMPER-SMT_3_2-NC_TRACE_SILK","JUMPER-SMT_3_2-NC_TRACE_SILK","SparkFun_IMU_Breakout_ICM-20948:SMT-JUMPER_3_2-NC_TRACE_SILK","","",""
"JP5","1","JUMPER-SMT_2_NO_SILK","JUMPER-SMT_2_NO_SILK","SparkFun_IMU_Breakout_ICM-20948:SMT-JUMPER_2_NO_SILK","","",""
"JP7","1","M05PTH","M05PTH","SparkFun_HX711_Load_Cell:1X05","","",""
"JP8","1","M02PTH","M02PTH","SparkFun_HX711_Load_Cell:1X02","","",""
"L1","1","3.3uH","INDUCTOR0805-IND","SparkFun_HX711_Load_Cell:0805","","",""
"LOGO1","1","SFE_LOGO_NAME_FLAME.1_INCH","SFE_LOGO_NAME_FLAME.1_INCH","SparkFun_IMU_Breakout_ICM-20948:SFE_LOGO_NAME_FLAME_.1","","",""
"LOGO2","1","OSHW-LOGOMINI","OSHW-LOGOMINI","SparkFun_IMU_Breakout_ICM-20948:OSHW-LOGO-MINI","","",""
"LOGO3","1","SFE_LOGO_NAME_FLAME.1_INCH","SFE_LOGO_NAME_FLAME.1_INCH","SparkFun_HX711_Load_Cell:SFE_LOGO_NAME_FLAME_.1","","",""
"LOGO4","1","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME.1_INCH","SparkFun_HX711_Load_Cell:SFE_LOGO_FLAME_.1","","",""
"Q1, Q2","2","mmbt2222","SparkFun_TRANSISTOR_NPNSOT23-3","Adafruit HUZZAH32 ESP32 Feather:SOT23-3","","",""
"Q3","1","DMG3415U","microbuilder_MOSFET-P","Adafruit HUZZAH32 ESP32 Feather:SOT23-R","","",""
